,epu,epu-s,tpu,spi,spi-1,spi-2,spi-3,spi-4,spi-5,iron,r-steel,steel,auto,truck
2002-02-01,40.9,164,73.6,83.25,86.5,88.5,83,81.5,69.25,45.08,46.75,47.37,17.9,2748.08 
2002-03-01,54.1,140,160.8,86.4,89.2,91,87,85.2,74,44.2,47.01,51.73,30.36,2748.08 
2002-04-01,45.9,117,34.2,88.5,88,90,91.5,91.25,82.5,45.51,47.74,53.23,34.49,2748.08 
2002-05-01,47.0,34,112.5,93.2,89.2,92,100.6,98.4,93.2,45.92,48.78,53.12,33.56,2748.08 
2002-06-01,30.4,117,55.8,93.75,88.75,93.75,101.5,99,93.75,47.15,49.53,54.8,27.55,2748.08 
2002-07-01,54.3,88,130.1,92.25,88,92.25,99.5,98.25,91.75,45.81,49,50.49,24.73,2748.08 
2002-08-01,44.1,141,39.1,92.8,87,92,101,100.2,93.4,46.42,49.66,53.2,25.6,2748.08 
2002-09-01,55.5,189,96.0,94.5,87.75,92.25,105,105.25,97,47.42,50.74,54.58,32.54,2748.08 
2002-10-01,56.7,148,129.2,96.25,88.75,93.5,106.75,107.5,98.5,47.24,50.53,53.32,31.86,2748.08 
2002-11-01,59.9,110,37.8,99.4,93.8,97.8,108.6,107.2,99.6,48.43,53.24,54.25,32.5,2748.08 
2002-12-01,91.0,85,143.1,104.25,100,102.75,113.75,112.75,104.5,49.88,53.63,56.88,32.78,2748.08 
2003-01-01,46.2,142,46.3,110,102.4,104,123.6,121,112.6,45.79,50.4,53.1,32.51,3393.67 
2003-02-01,28.0,89,18.7,115,106.75,109.5,131.75,124,115.75,52.27,55.48,56.51,29.52,3393.67 
2003-03-01,71.2,185,80.4,114.75,107.25,110.25,133.75,118.75,112.75,51.36,54.92,58.89,42.19,3393.67 
2003-04-01,101.6,124,92.7,110.75,106.5,109.75,130.75,106.25,104.25,53.08,57.81,61.53,39.97,3393.67 
2003-05-01,68.8,102,65.1,109.8,108.4,110.6,129.2,102.2,97.4,54.68,59.51,63.72,32.43,3393.67 
2003-06-01,55.0,87,7.0,113.75,117.25,118.5,132.5,105.25,94.5,55.44,61.39,65.71,35.01,3393.67 
2003-07-01,85.3,92,39.0,124.25,130,133.25,141,114.5,100.5,54.94,59.24,63.88,34.14,3393.67 
2003-08-01,61.1,89,47.5,122,123.6,128.2,141.2,114.4,102.2,56.32,61.12,65.18,36.76,3393.67 
2003-09-01,49.7,128,29.3,119,118.25,122.25,137.5,117.5,104,57.79,63.91,68.01,42.76,3393.67 
2003-10-01,62.9,107,76.2,123,123.4,127,138.8,124,107.2,58.16,63.92,69.24,37.19,3393.67 
2003-11-01,38.9,37,41.0,131.25,135.25,140,145,131.75,109.5,59.22,68.31,70.96,41.96,3393.67 
2003-12-01,53.1,97,49.1,141.25,150.5,157,150,137.75,111.25,60.92,65.03,70.18,41.72,3393.67 
2004-01-01,55.9,101,44.5,147.2,156.2,164.2,157.4,146.6,115.8,57.47,62.55,68.33,29.87,4282.75 
