,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw,spiw
2001-06-22,96.00,96.00,96.00,96.00,95.00,95.00,94.00,94.00,94.00,93.00
2001-06-29,96.00,96.00,96.00,95.00,95.00,94.00,94.00,94.00,93.00,93.00
2001-07-06,96.00,96.00,95.00,95.00,94.00,94.00,94.00,93.00,93.00,92.00
2001-07-13,96.00,95.00,95.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00
2001-07-20,95.00,95.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00
2001-07-27,95.00,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00
2001-08-03,94.00,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00,91.00
2001-08-10,94.00,94.00,93.00,93.00,92.00,92.00,92.00,92.00,91.00,91.00
2001-08-17,94.00,93.00,93.00,92.00,92.00,92.00,92.00,91.00,91.00,90.00
2001-08-24,93.00,93.00,92.00,92.00,92.00,92.00,91.00,91.00,90.00,90.00
2001-08-31,93.00,92.00,92.00,92.00,92.00,91.00,91.00,90.00,90.00,89.00
2001-09-07,92.00,92.00,92.00,92.00,91.00,91.00,90.00,90.00,89.00,89.00
2001-09-14,92.00,92.00,92.00,91.00,91.00,90.00,90.00,89.00,89.00,88.00
2001-09-21,92.00,92.00,91.00,91.00,90.00,90.00,89.00,89.00,88.00,88.00
2001-09-28,92.00,91.00,91.00,90.00,90.00,89.00,89.00,88.00,88.00,88.00
2001-10-05,91.00,91.00,90.00,90.00,89.00,89.00,88.00,88.00,88.00,87.00
2001-10-12,91.00,90.00,90.00,89.00,89.00,88.00,88.00,88.00,87.00,87.00
2001-10-19,90.00,90.00,89.00,89.00,88.00,88.00,88.00,87.00,87.00,86.00
2001-10-26,90.00,89.00,89.00,88.00,88.00,88.00,87.00,87.00,86.00,86.00
2001-11-02,89.00,89.00,88.00,88.00,88.00,87.00,87.00,86.00,86.00,85.00
2001-11-09,89.00,88.00,88.00,88.00,87.00,87.00,86.00,86.00,85.00,84.00
2001-11-16,88.00,88.00,88.00,87.00,87.00,86.00,86.00,85.00,84.00,84.00
2001-11-23,88.00,88.00,87.00,87.00,86.00,86.00,85.00,84.00,84.00,83.00
