,spi-4,spi-4,spi-4,spi-4,spi-4,spi-4,spi-4,spi-4,spi-4,spi-4
2000-10-01,92,95,95.4,97,99,100.4,99.5,101,101.8,102.25
2000-11-01,95,95.4,97,99,100.4,99.5,101,101.8,102.25,101.75
2000-12-01,95.4,97,99,100.4,99.5,101,101.8,102.25,101.75,100
2001-01-01,97,99,100.4,99.5,101,101.8,102.25,101.75,100,98.5
2001-02-01,99,100.4,99.5,101,101.8,102.25,101.75,100,98.5,96.75
2001-03-01,100.4,99.5,101,101.8,102.25,101.75,100,98.5,96.75,96
2001-04-01,99.5,101,101.8,102.25,101.75,100,98.5,96.75,96,94.75
2001-05-01,101,101.8,102.25,101.75,100,98.5,96.75,96,94.75,94
2001-06-01,101.8,102.25,101.75,100,98.5,96.75,96,94.75,94,93.4
2001-07-01,102.25,101.75,100,98.5,96.75,96,94.75,94,93.4,91.5
2001-08-01,101.75,100,98.5,96.75,96,94.75,94,93.4,91.5,89.6
2001-09-01,100,98.5,96.75,96,94.75,94,93.4,91.5,89.6,87.75
2001-10-01,98.5,96.75,96,94.75,94,93.4,91.5,89.6,87.75,85.5
2001-11-01,96.75,96,94.75,94,93.4,91.5,89.6,87.75,85.5,82.8
2001-12-01,96,94.75,94,93.4,91.5,89.6,87.75,85.5,82.8,81.75
2002-01-01,94.75,94,93.4,91.5,89.6,87.75,85.5,82.8,81.75,81
2002-02-01,94,93.4,91.5,89.6,87.75,85.5,82.8,81.75,81,81.5
2002-03-01,93.4,91.5,89.6,87.75,85.5,82.8,81.75,81,81.5,85.2
2002-04-01,91.5,89.6,87.75,85.5,82.8,81.75,81,81.5,85.2,91.25
2002-05-01,89.6,87.75,85.5,82.8,81.75,81,81.5,85.2,91.25,98.4
2002-06-01,87.75,85.5,82.8,81.75,81,81.5,85.2,91.25,98.4,99
2002-07-01,85.5,82.8,81.75,81,81.5,85.2,91.25,98.4,99,98.25
2002-08-01,82.8,81.75,81,81.5,85.2,91.25,98.4,99,98.25,100.2
2002-09-01,81.75,81,81.5,85.2,91.25,98.4,99,98.25,100.2,105.25
2002-10-01,81,81.5,85.2,91.25,98.4,99,98.25,100.2,105.25,107.5
2002-11-01,81.5,85.2,91.25,98.4,99,98.25,100.2,105.25,107.5,107.2
2002-12-01,85.2,91.25,98.4,99,98.25,100.2,105.25,107.5,107.2,112.75
2003-01-01,91.25,98.4,99,98.25,100.2,105.25,107.5,107.2,112.75,121
2003-02-01,98.4,99,98.25,100.2,105.25,107.5,107.2,112.75,121,124
2003-03-01,99,98.25,100.2,105.25,107.5,107.2,112.75,121,124,118.75
2003-04-01,98.25,100.2,105.25,107.5,107.2,112.75,121,124,118.75,106.25
2003-05-01,100.2,105.25,107.5,107.2,112.75,121,124,118.75,106.25,102.2
2003-06-01,105.25,107.5,107.2,112.75,121,124,118.75,106.25,102.2,105.25
