,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3
2015-03-01,126.2225,124.175,121.622,116.12,112.408,110.7275,109.95,101.662,95.4875,94.9325
2015-04-01,124.175,121.622,116.12,112.408,110.7275,109.95,101.662,95.4875,94.9325,93.77
2015-05-01,121.622,116.12,112.408,110.7275,109.95,101.662,95.4875,94.9325,93.77,91.288
2015-06-01,116.12,112.408,110.7275,109.95,101.662,95.4875,94.9325,93.77,91.288,84.64
2015-07-01,112.408,110.7275,109.95,101.662,95.4875,94.9325,93.77,91.288,84.64,77.612
2015-08-01,110.7275,109.95,101.662,95.4875,94.9325,93.77,91.288,84.64,77.612,80.405
2015-09-01,109.95,101.662,95.4875,94.9325,93.77,91.288,84.64,77.612,80.405,76.59
2015-10-01,101.662,95.4875,94.9325,93.77,91.288,84.64,77.612,80.405,76.59,74.556
2015-11-01,95.4875,94.9325,93.77,91.288,84.64,77.612,80.405,76.59,74.556,71.4175
2015-12-01,94.9325,93.77,91.288,84.64,77.612,80.405,76.59,74.556,71.4175,69.51
2016-01-01,93.77,91.288,84.64,77.612,80.405,76.59,74.556,71.4175,69.51,72.781
2016-02-01,91.288,84.64,77.612,80.405,76.59,74.556,71.4175,69.51,72.781,75.2825
2016-03-01,84.64,77.612,80.405,76.59,74.556,71.4175,69.51,72.781,75.2825,91.4975
2016-04-01,77.612,80.405,76.59,74.556,71.4175,69.51,72.781,75.2825,91.4975,104.384
2016-05-01,80.405,76.59,74.556,71.4175,69.51,72.781,75.2825,91.4975,104.384,97.6525
2016-06-01,76.59,74.556,71.4175,69.51,72.781,75.2825,91.4975,104.384,97.6525,89.26
2016-07-01,74.556,71.4175,69.51,72.781,75.2825,91.4975,104.384,97.6525,89.26,93.704
2016-08-01,71.4175,69.51,72.781,75.2825,91.4975,104.384,97.6525,89.26,93.704,99.235
2016-09-01,69.51,72.781,75.2825,91.4975,104.384,97.6525,89.26,93.704,99.235,98.63
2016-10-01,72.781,75.2825,91.4975,104.384,97.6525,89.26,93.704,99.235,98.63,101.48875
2016-11-01,75.2825,91.4975,104.384,97.6525,89.26,93.704,99.235,98.63,101.48875,117.19
2016-12-01,91.4975,104.384,97.6525,89.26,93.704,99.235,98.63,101.48875,117.19,132.248
2017-01-01,104.384,97.6525,89.26,93.704,99.235,98.63,101.48875,117.19,132.248,130.28
2017-02-01,97.6525,89.26,93.704,99.235,98.63,101.48875,117.19,132.248,130.28,134.0175
2017-03-01,89.26,93.704,99.235,98.63,101.48875,117.19,132.248,130.28,134.0175,137.54
2017-04-01,93.704,99.235,98.63,101.48875,117.19,132.248,130.28,134.0175,137.54,124.1775
2017-05-01,99.235,98.63,101.48875,117.19,132.248,130.28,134.0175,137.54,124.1775,122.59
2017-06-01,98.63,101.48875,117.19,132.248,130.28,134.0175,137.54,124.1775,122.59,125.26
2017-07-01,101.48875,117.19,132.248,130.28,134.0175,137.54,124.1775,122.59,125.26,133.9425
2017-08-01,117.19,132.248,130.28,134.0175,137.54,124.1775,122.59,125.26,133.9425,145.0575
2017-09-01,132.248,130.28,134.0175,137.54,124.1775,122.59,125.26,133.9425,145.0575,150.99
2017-10-01,130.28,134.0175,137.54,124.1775,122.59,125.26,133.9425,145.0575,150.99,152.545
2017-11-01,134.0175,137.54,124.1775,122.59,125.26,133.9425,145.0575,150.99,152.545,153.1825
2017-12-01,137.54,124.1775,122.59,125.26,133.9425,145.0575,150.99,152.545,153.1825,159.084
2018-01-01,124.1775,122.59,125.26,133.9425,145.0575,150.99,152.545,153.1825,159.084,152.3425
2018-02-01,122.59,125.26,133.9425,145.0575,150.99,152.545,153.1825,159.084,152.3425,151.915
2018-03-01,125.26,133.9425,145.0575,150.99,152.545,153.1825,159.084,152.3425,151.915,155.51
2018-04-01,133.9425,145.0575,150.99,152.545,153.1825,159.084,152.3425,151.915,155.51,156.8275
2018-05-01,145.0575,150.99,152.545,153.1825,159.084,152.3425,151.915,155.51,156.8275,162.67
2018-06-01,150.99,152.545,153.1825,159.084,152.3425,151.915,155.51,156.8275,162.67,163.53
2018-07-01,152.545,153.1825,159.084,152.3425,151.915,155.51,156.8275,162.67,163.53,160.2475
2018-08-01,153.1825,159.084,152.3425,151.915,155.51,156.8275,162.67,163.53,160.2475,164.164
2018-09-01,159.084,152.3425,151.915,155.51,156.8275,162.67,163.53,160.2475,164.164,164.0725
2018-10-01,152.3425,151.915,155.51,156.8275,162.67,163.53,160.2475,164.164,164.0725,160.79125
2018-11-01,151.915,155.51,156.8275,162.67,163.53,160.2475,164.164,164.0725,160.79125,150.37
2018-12-01,155.51,156.8275,162.67,163.53,160.2475,164.164,164.0725,160.79125,150.37,141.5
2019-01-01,156.8275,162.67,163.53,160.2475,164.164,164.0725,160.79125,150.37,141.5,142.065
2019-02-01,162.67,163.53,160.2475,164.164,164.0725,160.79125,150.37,141.5,142.065,144.8725
2019-03-01,163.53,160.2475,164.164,164.0725,160.79125,150.37,141.5,142.065,144.8725,147.616
2019-04-01,160.2475,164.164,164.0725,160.79125,150.37,141.5,142.065,144.8725,147.616,150.69
2019-05-01,164.164,164.0725,160.79125,150.37,141.5,142.065,144.8725,147.616,150.69,150.295
2019-06-01,164.0725,160.79125,150.37,141.5,142.065,144.8725,147.616,150.69,150.295,145.5425
2019-07-01,160.79125,150.37,141.5,142.065,144.8725,147.616,150.69,150.295,145.5425,144.555
2019-08-01,150.37,141.5,142.065,144.8725,147.616,150.69,150.295,145.5425,144.555,140.676
2019-09-01,141.5,142.065,144.8725,147.616,150.69,150.295,145.5425,144.555,140.676,138.635
2019-10-01,142.065,144.8725,147.616,150.69,150.295,145.5425,144.555,140.676,138.635,137.3275
2019-11-01,144.8725,147.616,150.69,150.295,145.5425,144.555,140.676,138.635,137.3275,136.564
2019-12-01,147.616,150.69,150.295,145.5425,144.555,140.676,138.635,137.3275,136.564,139.4975
2020-01-01,150.69,150.295,145.5425,144.555,140.676,138.635,137.3275,136.564,139.4975,140.206
2020-02-01,150.295,145.5425,144.555,140.676,138.635,137.3275,136.564,139.4975,140.206,133.725
2020-03-01,145.5425,144.555,140.676,138.635,137.3275,136.564,139.4975,140.206,133.725,133.6425
