,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3,spi-3
2000-10-01,80,82,85.6,96,101,102.4,99.5,100.75,102,103
2000-11-01,82,85.6,96,101,102.4,99.5,100.75,102,103,103.25
2000-12-01,85.6,96,101,102.4,99.5,100.75,102,103,103.25,102.2
2001-01-01,96,101,102.4,99.5,100.75,102,103,103.25,102.2,99.5
2001-02-01,101,102.4,99.5,100.75,102,103,103.25,102.2,99.5,99.5
2001-03-01,102.4,99.5,100.75,102,103,103.25,102.2,99.5,99.5,99.8
2001-04-01,99.5,100.75,102,103,103.25,102.2,99.5,99.5,99.8,99.75
2001-05-01,100.75,102,103,103.25,102.2,99.5,99.5,99.8,99.75,98.75
2001-06-01,102,103,103.25,102.2,99.5,99.5,99.8,99.75,98.75,98
2001-07-01,103,103.25,102.2,99.5,99.5,99.8,99.75,98.75,98,97
2001-08-01,103.25,102.2,99.5,99.5,99.8,99.75,98.75,98,97,96
2001-09-01,102.2,99.5,99.5,99.8,99.75,98.75,98,97,96,93.75
2001-10-01,99.5,99.5,99.8,99.75,98.75,98,97,96,93.75,92
2001-11-01,99.5,99.8,99.75,98.75,98,97,96,93.75,92,87.8
2001-12-01,99.8,99.75,98.75,98,97,96,93.75,92,87.8,84
2002-01-01,99.75,98.75,98,97,96,93.75,92,87.8,84,82.25
2002-02-01,98.75,98,97,96,93.75,92,87.8,84,82.25,83
2002-03-01,98,97,96,93.75,92,87.8,84,82.25,83,87
2002-04-01,97,96,93.75,92,87.8,84,82.25,83,87,91.5
2002-05-01,96,93.75,92,87.8,84,82.25,83,87,91.5,100.6
2002-06-01,93.75,92,87.8,84,82.25,83,87,91.5,100.6,101.5
2002-07-01,92,87.8,84,82.25,83,87,91.5,100.6,101.5,99.5
2002-08-01,87.8,84,82.25,83,87,91.5,100.6,101.5,99.5,101
2002-09-01,84,82.25,83,87,91.5,100.6,101.5,99.5,101,105
2002-10-01,82.25,83,87,91.5,100.6,101.5,99.5,101,105,106.75
2002-11-01,83,87,91.5,100.6,101.5,99.5,101,105,106.75,108.6
2002-12-01,87,91.5,100.6,101.5,99.5,101,105,106.75,108.6,113.75
2003-01-01,91.5,100.6,101.5,99.5,101,105,106.75,108.6,113.75,123.6
2003-02-01,100.6,101.5,99.5,101,105,106.75,108.6,113.75,123.6,131.75
2003-03-01,101.5,99.5,101,105,106.75,108.6,113.75,123.6,131.75,133.75
2003-04-01,99.5,101,105,106.75,108.6,113.75,123.6,131.75,133.75,130.75
2003-05-01,101,105,106.75,108.6,113.75,123.6,131.75,133.75,130.75,129.2
2003-06-01,105,106.75,108.6,113.75,123.6,131.75,133.75,130.75,129.2,132.5
2003-07-01,106.75,108.6,113.75,123.6,131.75,133.75,130.75,129.2,132.5,141
2003-08-01,108.6,113.75,123.6,131.75,133.75,130.75,129.2,132.5,141,141.2
2003-09-01,113.75,123.6,131.75,133.75,130.75,129.2,132.5,141,141.2,137.5
2003-10-01,123.6,131.75,133.75,130.75,129.2,132.5,141,141.2,137.5,138.8
2003-11-01,131.75,133.75,130.75,129.2,132.5,141,141.2,137.5,138.8,145
2003-12-01,133.75,130.75,129.2,132.5,141,141.2,137.5,138.8,145,150
2004-01-01,130.75,129.2,132.5,141,141.2,137.5,138.8,145,150,157.4
2004-02-01,129.2,132.5,141,141.2,137.5,138.8,145,150,157.4,169.5
2004-03-01,132.5,141,141.2,137.5,138.8,145,150,157.4,169.5,177.5
2004-04-01,141,141.2,137.5,138.8,145,150,157.4,169.5,177.5,179
2004-05-01,141.2,137.5,138.8,145,150,157.4,169.5,177.5,179,165.5
2004-06-01,137.5,138.8,145,150,157.4,169.5,177.5,179,165.5,153.5
2004-07-01,138.8,145,150,157.4,169.5,177.5,179,165.5,153.5,159.4
2004-08-01,145,150,157.4,169.5,177.5,179,165.5,153.5,159.4,169.75
2004-09-01,150,157.4,169.5,177.5,179,165.5,153.5,159.4,169.75,170.75
2004-10-01,157.4,169.5,177.5,179,165.5,153.5,159.4,169.75,170.75,169.4
2004-11-01,169.5,177.5,179,165.5,153.5,159.4,169.75,170.75,169.4,167.25
2004-12-01,177.5,179,165.5,153.5,159.4,169.75,170.75,169.4,167.25,169.2
2005-01-01,179,165.5,153.5,159.4,169.75,170.75,169.4,167.25,169.2,173.5
2005-02-01,165.5,153.5,159.4,169.75,170.75,169.4,167.25,169.2,173.5,176.25
2005-03-01,153.5,159.4,169.75,170.75,169.4,167.25,169.2,173.5,176.25,182.25
2005-04-01,159.4,169.75,170.75,169.4,167.25,169.2,173.5,176.25,182.25,180.6
2005-05-01,169.75,170.75,169.4,167.25,169.2,173.5,176.25,182.25,180.6,175
2005-06-01,170.75,169.4,167.25,169.2,173.5,176.25,182.25,180.6,175,164.25
2005-07-01,169.4,167.25,169.2,173.5,176.25,182.25,180.6,175,164.25,149.8
2005-08-01,167.25,169.2,173.5,176.25,182.25,180.6,175,164.25,149.8,143.75
2005-09-01,169.2,173.5,176.25,182.25,180.6,175,164.25,149.8,143.75,130.6
2005-10-01,173.5,176.25,182.25,180.6,175,164.25,149.8,143.75,130.6,112.75
2005-11-01,176.25,182.25,180.6,175,164.25,149.8,143.75,130.6,112.75,112.5
2005-12-01,182.25,180.6,175,164.25,149.8,143.75,130.6,112.75,112.5,110.6
2006-01-01,180.6,175,164.25,149.8,143.75,130.6,112.75,112.5,110.6,108.25
2006-02-01,175,164.25,149.8,143.75,130.6,112.75,112.5,110.6,108.25,111.25
2006-03-01,164.25,149.8,143.75,130.6,112.75,112.5,110.6,108.25,111.25,126.8
2006-04-01,149.8,143.75,130.6,112.75,112.5,110.6,108.25,111.25,126.8,136.5
2006-05-01,143.75,130.6,112.75,112.5,110.6,108.25,111.25,126.8,136.5,141.75
2006-06-01,130.6,112.75,112.5,110.6,108.25,111.25,126.8,136.5,141.75,160.4
2006-07-01,112.75,112.5,110.6,108.25,111.25,126.8,136.5,141.75,160.4,137.75
2006-08-01,112.5,110.6,108.25,111.25,126.8,136.5,141.75,160.4,137.75,132.25
2006-09-01,110.6,108.25,111.25,126.8,136.5,141.75,160.4,137.75,132.25,136
2006-10-01,108.25,111.25,126.8,136.5,141.75,160.4,137.75,132.25,136,136.75
2006-11-01,111.25,126.8,136.5,141.75,160.4,137.75,132.25,136,136.75,134
2006-12-01,126.8,136.5,141.75,160.4,137.75,132.25,136,136.75,134,135.2
2007-01-01,136.5,141.75,160.4,137.75,132.25,136,136.75,134,135.2,144.75
2007-02-01,141.75,160.4,137.75,132.25,136,136.75,134,135.2,144.75,148.75
2007-03-01,160.4,137.75,132.25,136,136.75,134,135.2,144.75,148.75,151.16
2007-04-01,137.75,132.25,136,136.75,134,135.2,144.75,148.75,151.16,152.075
2007-05-01,132.25,136,136.75,134,135.2,144.75,148.75,151.16,152.075,157.625
2007-06-01,136,136.75,134,135.2,144.75,148.75,151.16,152.075,157.625,155.24
2007-07-01,136.75,134,135.2,144.75,148.75,151.16,152.075,157.625,155.24,157.675
2007-08-01,134,135.2,144.75,148.75,151.16,152.075,157.625,155.24,157.675,165.94
2007-09-01,135.2,144.75,148.75,151.16,152.075,157.625,155.24,157.675,165.94,173.85
2007-10-01,144.75,148.75,151.16,152.075,157.625,155.24,157.675,165.94,173.85,173.025
2007-11-01,148.75,151.16,152.075,157.625,155.24,157.675,165.94,173.85,173.025,174.5
2007-12-01,151.16,152.075,157.625,155.24,157.675,165.94,173.85,173.025,174.5,185.625
2008-01-01,152.075,157.625,155.24,157.675,165.94,173.85,173.025,174.5,185.625,188.275
2008-02-01,157.625,155.24,157.675,165.94,173.85,173.025,174.5,185.625,188.275,199.1
2008-03-01,155.24,157.675,165.94,173.85,173.025,174.5,185.625,188.275,199.1,219.75
2008-04-01,157.675,165.94,173.85,173.025,174.5,185.625,188.275,199.1,219.75,226.1
2008-05-01,165.94,173.85,173.025,174.5,185.625,188.275,199.1,219.75,226.1,238.28
2008-06-01,173.85,173.025,174.5,185.625,188.275,199.1,219.75,226.1,238.28,243.425
2008-07-01,173.025,174.5,185.625,188.275,199.1,219.75,226.1,238.28,243.425,240.225
2008-08-01,174.5,185.625,188.275,199.1,219.75,226.1,238.28,243.425,240.225,227.88
2008-09-01,185.625,188.275,199.1,219.75,226.1,238.28,243.425,240.225,227.88,206.575
2008-10-01,188.275,199.1,219.75,226.1,238.28,243.425,240.225,227.88,206.575,161.36
2008-11-01,199.1,219.75,226.1,238.28,243.425,240.225,227.88,206.575,161.36,133.475
2008-12-01,219.75,226.1,238.28,243.425,240.225,227.88,206.575,161.36,133.475,135.4
2009-01-01,226.1,238.28,243.425,240.225,227.88,206.575,161.36,133.475,135.4,140.98
2009-02-01,238.28,243.425,240.225,227.88,206.575,161.36,133.475,135.4,140.98,139.775
2009-03-01,243.425,240.225,227.88,206.575,161.36,133.475,135.4,140.98,139.775,128
2009-04-01,240.225,227.88,206.575,161.36,133.475,135.4,140.98,139.775,128,124.075
2009-05-01,227.88,206.575,161.36,133.475,135.4,140.98,139.775,128,124.075,125.52
2009-06-01,206.575,161.36,133.475,135.4,140.98,139.775,128,124.075,125.52,130.325
2009-07-01,161.36,133.475,135.4,140.98,139.775,128,124.075,125.52,130.325,138.58
2009-08-01,133.475,135.4,140.98,139.775,128,124.075,125.52,130.325,138.58,146.55
2009-09-01,135.4,140.98,139.775,128,124.075,125.52,130.325,138.58,146.55,132.95
2009-10-01,140.98,139.775,128,124.075,125.52,130.325,138.58,146.55,132.95,129.36
2009-11-01,139.775,128,124.075,125.52,130.325,138.58,146.55,132.95,129.36,135.475
2009-12-01,128,124.075,125.52,130.325,138.58,146.55,132.95,129.36,135.475,139.975
2010-01-01,124.075,125.52,130.325,138.58,146.55,132.95,129.36,135.475,139.975,146.1
2010-02-01,125.52,130.325,138.58,146.55,132.95,129.36,135.475,139.975,146.1,145.25
2010-03-01,130.325,138.58,146.55,132.95,129.36,135.475,139.975,146.1,145.25,157.375
2010-04-01,138.58,146.55,132.95,129.36,135.475,139.975,146.1,145.25,157.375,174.52
2010-05-01,146.55,132.95,129.36,135.475,139.975,146.1,145.25,157.375,174.52,170.65
2010-06-01,132.95,129.36,135.475,139.975,146.1,145.25,157.375,174.52,170.65,161.075
2010-07-01,129.36,135.475,139.975,146.1,145.25,157.375,174.52,170.65,161.075,153.64
2010-08-01,135.475,139.975,146.1,145.25,157.375,174.52,170.65,161.075,153.64,161.45
2010-09-01,139.975,146.1,145.25,157.375,174.52,170.65,161.075,153.64,161.45,164.325
2010-10-01,146.1,145.25,157.375,174.52,170.65,161.075,153.64,161.45,164.325,162.9
2010-11-01,145.25,157.375,174.52,170.65,161.075,153.64,161.45,164.325,162.9,165.1
2010-12-01,157.375,174.52,170.65,161.075,153.64,161.45,164.325,162.9,165.1,170.58
2011-01-01,174.52,170.65,161.075,153.64,161.45,164.325,162.9,165.1,170.58,178.875
2011-02-01,170.65,161.075,153.64,161.45,164.325,162.9,165.1,170.58,178.875,183.9
2011-03-01,161.075,153.64,161.45,164.325,162.9,165.1,170.58,178.875,183.9,178.5
2011-04-01,153.64,161.45,164.325,162.9,165.1,170.58,178.875,183.9,178.5,182.44
2011-05-01,161.45,164.325,162.9,165.1,170.58,178.875,183.9,178.5,182.44,184.225
2011-06-01,164.325,162.9,165.1,170.58,178.875,183.9,178.5,182.44,184.225,182.375
2011-07-01,162.9,165.1,170.58,178.875,183.9,178.5,182.44,184.225,182.375,179.004
2011-08-01,165.1,170.58,178.875,183.9,178.5,182.44,184.225,182.375,179.004,180.37
2011-09-01,170.58,178.875,183.9,178.5,182.44,184.225,182.375,179.004,180.37,178.372
2011-10-01,178.875,183.9,178.5,182.44,184.225,182.375,179.004,180.37,178.372,167.32
2011-11-01,183.9,178.5,182.44,184.225,182.375,179.004,180.37,178.372,167.32,158.9475
2011-12-01,178.5,182.44,184.225,182.375,179.004,180.37,178.372,167.32,158.9475,156.77
2012-01-01,182.44,184.225,182.375,179.004,180.37,178.372,167.32,158.9475,156.77,155.5275
2012-02-01,184.225,182.375,179.004,180.37,178.372,167.32,158.9475,156.77,155.5275,156.9625
2012-03-01,182.375,179.004,180.37,178.372,167.32,158.9475,156.77,155.5275,156.9625,161.656
2012-04-01,179.004,180.37,178.372,167.32,158.9475,156.77,155.5275,156.9625,161.656,163.4475
2012-05-01,180.37,178.372,167.32,158.9475,156.77,155.5275,156.9625,161.656,163.4475,157.9275
2012-06-01,178.372,167.32,158.9475,156.77,155.5275,156.9625,161.656,163.4475,157.9275,152.276
2012-07-01,167.32,158.9475,156.77,155.5275,156.9625,161.656,163.4475,157.9275,152.276,144.3375
2012-08-01,158.9475,156.77,155.5275,156.9625,161.656,163.4475,157.9275,152.276,144.3375,132.238
2012-09-01,156.77,155.5275,156.9625,161.656,163.4475,157.9275,152.276,144.3375,132.238,129.3725
2012-10-01,155.5275,156.9625,161.656,163.4475,157.9275,152.276,144.3375,132.238,129.3725,134.115
2012-11-01,156.9625,161.656,163.4475,157.9275,152.276,144.3375,132.238,129.3725,134.115,137.404
2012-12-01,161.656,163.4475,157.9275,152.276,144.3375,132.238,129.3725,134.115,137.404,138.515
2013-01-01,163.4475,157.9275,152.276,144.3375,132.238,129.3725,134.115,137.404,138.515,144.37
2013-02-01,157.9275,152.276,144.3375,132.238,129.3725,134.115,137.404,138.515,144.37,148.245
2013-03-01,152.276,144.3375,132.238,129.3725,134.115,137.404,138.515,144.37,148.245,145.318
2013-04-01,144.3375,132.238,129.3725,134.115,137.404,138.515,144.37,148.245,145.318,141.5175
2013-05-01,132.238,129.3725,134.115,137.404,138.515,144.37,148.245,145.318,141.5175,136.226
2013-06-01,129.3725,134.115,137.404,138.515,144.37,148.245,145.318,141.5175,136.226,131.385
2013-07-01,134.115,137.404,138.515,144.37,148.245,145.318,141.5175,136.226,131.385,133.07
2013-08-01,137.404,138.515,144.37,148.245,145.318,141.5175,136.226,131.385,133.07,134.964
2013-09-01,138.515,144.37,148.245,145.318,141.5175,136.226,131.385,133.07,134.964,132.2925
2013-10-01,144.37,148.245,145.318,141.5175,136.226,131.385,133.07,134.964,132.2925,129.35
2013-11-01,148.245,145.318,141.5175,136.226,131.385,133.07,134.964,132.2925,129.35,127.824
2013-12-01,145.318,141.5175,136.226,131.385,133.07,134.964,132.2925,129.35,127.824,129.54
2014-01-01,141.5175,136.226,131.385,133.07,134.964,132.2925,129.35,127.824,129.54,128.998
2014-02-01,136.226,131.385,133.07,134.964,132.2925,129.35,127.824,129.54,128.998,128.435
2014-03-01,131.385,133.07,134.964,132.2925,129.35,127.824,129.54,128.998,128.435,127.27
2014-04-01,133.07,134.964,132.2925,129.35,127.824,129.54,128.998,128.435,127.27,129.0125
2014-05-01,134.964,132.2925,129.35,127.824,129.54,128.998,128.435,127.27,129.0125,128.092
2014-06-01,132.2925,129.35,127.824,129.54,128.998,128.435,127.27,129.0125,128.092,126.2225
2014-07-01,129.35,127.824,129.54,128.998,128.435,127.27,129.0125,128.092,126.2225,124.175
2014-08-01,127.824,129.54,128.998,128.435,127.27,129.0125,128.092,126.2225,124.175,121.622
2014-09-01,129.54,128.998,128.435,127.27,129.0125,128.092,126.2225,124.175,121.622,116.12
2014-10-01,128.998,128.435,127.27,129.0125,128.092,126.2225,124.175,121.622,116.12,112.408
2014-11-01,128.435,127.27,129.0125,128.092,126.2225,124.175,121.622,116.12,112.408,110.7275
2014-12-01,127.27,129.0125,128.092,126.2225,124.175,121.622,116.12,112.408,110.7275,109.95
2015-01-01,129.0125,128.092,126.2225,124.175,121.622,116.12,112.408,110.7275,109.95,101.662
2015-02-01,128.092,126.2225,124.175,121.622,116.12,112.408,110.7275,109.95,101.662,95.4875
