,spi-1,spi-1,spi-1,spi-1,spi-1,spi-1,spi-1,spi-1,spi-1,spi-1
2000-10-01,82,82.25,83.8,105.25,107.25,100.8,99.75,100,99.4,99
2000-11-01,82.25,83.8,105.25,107.25,100.8,99.75,100,99.4,99,97
2000-12-01,83.8,105.25,107.25,100.8,99.75,100,99.4,99,97,95.6
2001-01-01,105.25,107.25,100.8,99.75,100,99.4,99,97,95.6,94
2001-02-01,107.25,100.8,99.75,100,99.4,99,97,95.6,94,96.75
2001-03-01,100.8,99.75,100,99.4,99,97,95.6,94,96.75,99.2
2001-04-01,99.75,100,99.4,99,97,95.6,94,96.75,99.2,100
2001-05-01,100,99.4,99,97,95.6,94,96.75,99.2,100,98.5
2001-06-01,99.4,99,97,95.6,94,96.75,99.2,100,98.5,96.4
2001-07-01,99,97,95.6,94,96.75,99.2,100,98.5,96.4,94.75
2001-08-01,97,95.6,94,96.75,99.2,100,98.5,96.4,94.75,93
2001-09-01,95.6,94,96.75,99.2,100,98.5,96.4,94.75,93,91.75
2001-10-01,94,96.75,99.2,100,98.5,96.4,94.75,93,91.75,90.5
2001-11-01,96.75,99.2,100,98.5,96.4,94.75,93,91.75,90.5,88
2001-12-01,99.2,100,98.5,96.4,94.75,93,91.75,90.5,88,84.75
2002-01-01,100,98.5,96.4,94.75,93,91.75,90.5,88,84.75,84.75
2002-02-01,98.5,96.4,94.75,93,91.75,90.5,88,84.75,84.75,86.5
2002-03-01,96.4,94.75,93,91.75,90.5,88,84.75,84.75,86.5,89.2
2002-04-01,94.75,93,91.75,90.5,88,84.75,84.75,86.5,89.2,88
2002-05-01,93,91.75,90.5,88,84.75,84.75,86.5,89.2,88,89.2
2002-06-01,91.75,90.5,88,84.75,84.75,86.5,89.2,88,89.2,88.75
2002-07-01,90.5,88,84.75,84.75,86.5,89.2,88,89.2,88.75,88
2002-08-01,88,84.75,84.75,86.5,89.2,88,89.2,88.75,88,87
2002-09-01,84.75,84.75,86.5,89.2,88,89.2,88.75,88,87,87.75
2002-10-01,84.75,86.5,89.2,88,89.2,88.75,88,87,87.75,88.75
2002-11-01,86.5,89.2,88,89.2,88.75,88,87,87.75,88.75,93.8
2002-12-01,89.2,88,89.2,88.75,88,87,87.75,88.75,93.8,100
2003-01-01,88,89.2,88.75,88,87,87.75,88.75,93.8,100,102.4
2003-02-01,89.2,88.75,88,87,87.75,88.75,93.8,100,102.4,106.75
2003-03-01,88.75,88,87,87.75,88.75,93.8,100,102.4,106.75,107.25
2003-04-01,88,87,87.75,88.75,93.8,100,102.4,106.75,107.25,106.5
