,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2
2003-02-01,92,92,93.75,92.25,92,92.25,93.5,97.8,102.75,104
2003-03-01,93.75,93.75,92.25,92,92.25,93.5,97.8,102.75,104,109.5
2003-04-01,92.25,92.25,92,92.25,93.5,97.8,102.75,104,109.5,110.25
2003-05-01,92,92,92.25,93.5,97.8,102.75,104,109.5,110.25,109.75
2003-06-01,92.25,92.25,93.5,97.8,102.75,104,109.5,110.25,109.75,110.6
2003-07-01,93.5,93.5,97.8,102.75,104,109.5,110.25,109.75,110.6,118.5
2003-08-01,97.8,97.8,102.75,104,109.5,110.25,109.75,110.6,118.5,133.25
2003-09-01,102.75,102.75,104,109.5,110.25,109.75,110.6,118.5,133.25,128.2
2003-10-01,104,104,109.5,110.25,109.75,110.6,118.5,133.25,128.2,122.25
2003-11-01,109.5,109.5,110.25,109.75,110.6,118.5,133.25,128.2,122.25,127
2003-12-01,110.25,110.25,109.75,110.6,118.5,133.25,128.2,122.25,127,140
2004-01-01,109.75,109.75,110.6,118.5,133.25,128.2,122.25,127,140,157
2004-02-01,110.6,110.6,118.5,133.25,128.2,122.25,127,140,157,164.2
2004-03-01,118.5,118.5,133.25,128.2,122.25,127,140,157,164.2,169.75
2004-04-01,133.25,133.25,128.2,122.25,127,140,157,164.2,169.75,166.75
2004-05-01,128.2,128.2,122.25,127,140,157,164.2,169.75,166.75,150.2
2004-06-01,122.25,122.25,127,140,157,164.2,169.75,166.75,150.2,123.5
2004-07-01,127,127,140,157,164.2,169.75,166.75,150.2,123.5,136.75
2004-08-01,140,140,157,164.2,169.75,166.75,150.2,123.5,136.75,149.2
2004-09-01,157,157,164.2,169.75,166.75,150.2,123.5,136.75,149.2,156.5
2004-10-01,164.2,164.2,169.75,166.75,150.2,123.5,136.75,149.2,156.5,153.75
2004-11-01,169.75,169.75,166.75,150.2,123.5,136.75,149.2,156.5,153.75,150.2
2004-12-01,166.75,166.75,150.2,123.5,136.75,149.2,156.5,153.75,150.2,146.5
2005-01-01,150.2,150.2,123.5,136.75,149.2,156.5,153.75,150.2,146.5,142.8
2005-02-01,123.5,123.5,136.75,149.2,156.5,153.75,150.2,146.5,142.8,148.25
2005-03-01,136.75,136.75,149.2,156.5,153.75,150.2,146.5,142.8,148.25,150
2005-04-01,149.2,149.2,156.5,153.75,150.2,146.5,142.8,148.25,150,158
2005-05-01,156.5,156.5,153.75,150.2,146.5,142.8,148.25,150,158,151.6
2005-06-01,153.75,153.75,150.2,146.5,142.8,148.25,150,158,151.6,143.25
2005-07-01,150.2,150.2,146.5,142.8,148.25,150,158,151.6,143.25,132.5
2005-08-01,146.5,146.5,142.8,148.25,150,158,151.6,143.25,132.5,136
2005-09-01,142.8,142.8,148.25,150,158,151.6,143.25,132.5,136,137.75
2005-10-01,148.25,148.25,150,158,151.6,143.25,132.5,136,137.75,133
2005-11-01,150,150,158,151.6,143.25,132.5,136,137.75,133,127
2005-12-01,158,158,151.6,143.25,132.5,136,137.75,133,127,125.75
2006-01-01,151.6,151.6,143.25,132.5,136,137.75,133,127,125.75,125.4
2006-02-01,143.25,143.25,132.5,136,137.75,133,127,125.75,125.4,121.5
2006-03-01,132.5,132.5,136,137.75,133,127,125.75,125.4,121.5,121.75
2006-04-01,136,136,137.75,133,127,125.75,125.4,121.5,121.75,124.4
2006-05-01,137.75,137.75,133,127,125.75,125.4,121.5,121.75,124.4,129.5
2006-06-01,133,133,127,125.75,125.4,121.5,121.75,124.4,129.5,136.25
2006-07-01,127,127,125.75,125.4,121.5,121.75,124.4,129.5,136.25,143.4
2006-08-01,125.75,125.75,125.4,121.5,121.75,124.4,129.5,136.25,143.4,128.75
2006-09-01,125.4,125.4,121.5,121.75,124.4,129.5,136.25,143.4,128.75,129.5
2006-10-01,121.5,121.5,121.75,124.4,129.5,136.25,143.4,128.75,129.5,131.8
2006-11-01,121.75,121.75,124.4,129.5,136.25,143.4,128.75,129.5,131.8,129.75
2006-12-01,124.4,124.4,129.5,136.25,143.4,128.75,129.5,131.8,129.75,128.5
2007-01-01,129.5,129.5,136.25,143.4,128.75,129.5,131.8,129.75,128.5,128
2007-02-01,136.25,136.25,143.4,128.75,129.5,131.8,129.75,128.5,128,130.5
2007-03-01,143.4,143.4,128.75,129.5,131.8,129.75,128.5,128,130.5,133
2007-04-01,128.75,128.75,129.5,131.8,129.75,128.5,128,130.5,133,134.04
2007-05-01,129.5,129.5,131.8,129.75,128.5,128,130.5,133,134.04,138.625
2007-06-01,131.8,131.8,129.75,128.5,128,130.5,133,134.04,138.625,152.975
2007-07-01,129.75,129.75,128.5,128,130.5,133,134.04,138.625,152.975,146.32
2007-08-01,128.5,128.5,128,130.5,133,134.04,138.625,152.975,146.32,147.05
2007-09-01,128,128,130.5,133,134.04,138.625,152.975,146.32,147.05,155.04
2007-10-01,130.5,130.5,133,134.04,138.625,152.975,146.32,147.05,155.04,161.05
2007-11-01,133,133,134.04,138.625,152.975,146.32,147.05,155.04,161.05,161.025
2007-12-01,134.04,134.04,138.625,152.975,146.32,147.05,155.04,161.05,161.025,171.62
2008-01-01,138.625,138.625,152.975,146.32,147.05,155.04,161.05,161.025,171.62,186.7
2008-02-01,152.975,152.975,146.32,147.05,155.04,161.05,161.025,171.62,186.7,182.975
2008-03-01,146.32,146.32,147.05,155.04,161.05,161.025,171.62,186.7,182.975,189.52
2008-04-01,147.05,147.05,155.04,161.05,161.025,171.62,186.7,182.975,189.52,208.825
2008-05-01,155.04,155.04,161.05,161.025,171.62,186.7,182.975,189.52,208.825,216
2008-06-01,161.05,161.05,161.025,171.62,186.7,182.975,189.52,208.825,216,240.4
2008-07-01,161.025,161.025,171.62,186.7,182.975,189.52,208.825,216,240.4,244.8
2008-08-01,171.62,171.62,186.7,182.975,189.52,208.825,216,240.4,244.8,240.325
2008-09-01,186.7,186.7,182.975,189.52,208.825,216,240.4,244.8,240.325,219.14
2008-10-01,182.975,182.975,189.52,208.825,216,240.4,244.8,240.325,219.14,200.375
2008-11-01,189.52,189.52,208.825,216,240.4,244.8,240.325,219.14,200.375,156.48
2008-12-01,208.825,208.825,216,240.4,244.8,240.325,219.14,200.375,156.48,145.15
2009-01-01,216,216,240.4,244.8,240.325,219.14,200.375,156.48,145.15,149.05
2009-02-01,240.4,240.4,244.8,240.325,219.14,200.375,156.48,145.15,149.05,155.12
2009-03-01,244.8,244.8,240.325,219.14,200.375,156.48,145.15,149.05,155.12,151.775
2009-04-01,240.325,240.325,219.14,200.375,156.48,145.15,149.05,155.12,151.775,135.475
2009-05-01,219.14,219.14,200.375,156.48,145.15,149.05,155.12,151.775,135.475,135.05
2009-06-01,200.375,200.375,156.48,145.15,149.05,155.12,151.775,135.475,135.05,143.08
2009-07-01,156.48,156.48,145.15,149.05,155.12,151.775,135.475,135.05,143.08,151.5
2009-08-01,145.15,145.15,149.05,155.12,151.775,135.475,135.05,143.08,151.5,164.28
2009-09-01,149.05,149.05,155.12,151.775,135.475,135.05,143.08,151.5,164.28,166.775
2009-10-01,155.12,155.12,151.775,135.475,135.05,143.08,151.5,164.28,166.775,145.5
2009-11-01,151.775,151.775,135.475,135.05,143.08,151.5,164.28,166.775,145.5,142.7
2009-12-01,135.475,135.475,135.05,143.08,151.5,164.28,166.775,145.5,142.7,148.5
2010-01-01,135.05,135.05,143.08,151.5,164.28,166.775,145.5,142.7,148.5,153.625
2010-02-01,143.08,143.08,151.5,164.28,166.775,145.5,142.7,148.5,153.625,161
2010-03-01,151.5,151.5,164.28,166.775,145.5,142.7,148.5,153.625,161,158.8
2010-04-01,164.28,164.28,166.775,145.5,142.7,148.5,153.625,161,158.8,168.925
2010-05-01,166.775,166.775,145.5,142.7,148.5,153.625,161,158.8,168.925,186.12
2010-06-01,145.5,145.5,142.7,148.5,153.625,161,158.8,168.925,186.12,174.55
2010-07-01,142.7,142.7,148.5,153.625,161,158.8,168.925,186.12,174.55,166.8
2010-08-01,148.5,148.5,153.625,161,158.8,168.925,186.12,174.55,166.8,162.9
2010-09-01,153.625,153.625,161,158.8,168.925,186.12,174.55,166.8,162.9,173.05
2010-10-01,161,161,158.8,168.925,186.12,174.55,166.8,162.9,173.05,180.375
2010-11-01,158.8,158.8,168.925,186.12,174.55,166.8,162.9,173.05,180.375,178.84
2010-12-01,168.925,168.925,186.12,174.55,166.8,162.9,173.05,180.375,178.84,189.475
2011-01-01,186.12,186.12,174.55,166.8,162.9,173.05,180.375,178.84,189.475,195.14
2011-02-01,174.55,174.55,166.8,162.9,173.05,180.375,178.84,189.475,195.14,196.75
2011-03-01,166.8,166.8,162.9,173.05,180.375,178.84,189.475,195.14,196.75,200.1
2011-04-01,162.9,162.9,173.05,180.375,178.84,189.475,195.14,196.75,200.1,192.225
2011-05-01,173.05,173.05,180.375,178.84,189.475,195.14,196.75,200.1,192.225,196.96
2011-06-01,180.375,180.375,178.84,189.475,195.14,196.75,200.1,192.225,196.96,202.075
2011-07-01,178.84,178.84,189.475,195.14,196.75,200.1,192.225,196.96,202.075,201.875
2011-08-01,189.475,189.475,195.14,196.75,200.1,192.225,196.96,202.075,201.875,201.478
2011-09-01,195.14,195.14,196.75,200.1,192.225,196.96,202.075,201.875,201.478,207.6625
2011-10-01,196.75,196.75,200.1,192.225,196.96,202.075,201.875,201.478,207.6625,204.174
2011-11-01,200.1,200.1,192.225,196.96,202.075,201.875,201.478,207.6625,204.174,189.7175
2011-12-01,192.225,192.225,196.96,202.075,201.875,201.478,207.6625,204.174,189.7175,185.2875
2012-01-01,196.96,196.96,202.075,201.875,201.478,207.6625,204.174,189.7175,185.2875,183.264
2012-02-01,202.075,202.075,201.875,201.478,207.6625,204.174,189.7175,185.2875,183.264,177.3475
2012-03-01,201.875,201.875,201.478,207.6625,204.174,189.7175,185.2875,183.264,177.3475,173.7575
2012-04-01,201.478,201.478,207.6625,204.174,189.7175,185.2875,183.264,177.3475,173.7575,177.206
2012-05-01,207.6625,207.6625,204.174,189.7175,185.2875,183.264,177.3475,173.7575,177.206,178.61
2012-06-01,204.174,204.174,189.7175,185.2875,183.264,177.3475,173.7575,177.206,178.61,172.8
2012-07-01,189.7175,189.7175,185.2875,183.264,177.3475,173.7575,177.206,178.61,172.8,168.85
2012-08-01,185.2875,185.2875,183.264,177.3475,173.7575,177.206,178.61,172.8,168.85,160.7575
2012-09-01,183.264,183.264,177.3475,173.7575,177.206,178.61,172.8,168.85,160.7575,150.992
2012-10-01,177.3475,177.3475,173.7575,177.206,178.61,172.8,168.85,160.7575,150.992,148.095
2012-11-01,173.7575,173.7575,177.206,178.61,172.8,168.85,160.7575,150.992,148.095,155.2575
2012-12-01,177.206,177.206,178.61,172.8,168.85,160.7575,150.992,148.095,155.2575,151.936
2013-01-01,178.61,178.61,172.8,168.85,160.7575,150.992,148.095,155.2575,151.936,148.06
2013-02-01,172.8,172.8,168.85,160.7575,150.992,148.095,155.2575,151.936,148.06,152.365
2013-03-01,168.85,168.85,160.7575,150.992,148.095,155.2575,151.936,148.06,152.365,155.7875
2013-04-01,160.7575,160.7575,150.992,148.095,155.2575,151.936,148.06,152.365,155.7875,152.512
2013-05-01,150.992,150.992,148.095,155.2575,151.936,148.06,152.365,155.7875,152.512,149.4325
2013-06-01,148.095,148.095,155.2575,151.936,148.06,152.365,155.7875,152.512,149.4325,143.968
2013-07-01,155.2575,155.2575,151.936,148.06,152.365,155.7875,152.512,149.4325,143.968,137.8975
2013-08-01,151.936,151.936,148.06,152.365,155.7875,152.512,149.4325,143.968,137.8975,141.6075
2013-09-01,148.06,148.06,152.365,155.7875,152.512,149.4325,143.968,137.8975,141.6075,145.958
2013-10-01,152.365,152.365,155.7875,152.512,149.4325,143.968,137.8975,141.6075,145.958,144.8575
2013-11-01,155.7875,155.7875,152.512,149.4325,143.968,137.8975,141.6075,145.958,144.8575,142.73
2013-12-01,152.512,152.512,149.4325,143.968,137.8975,141.6075,145.958,144.8575,142.73,143.15
2014-01-01,149.4325,149.4325,143.968,137.8975,141.6075,145.958,144.8575,142.73,143.15,142.58
2014-02-01,143.968,143.968,137.8975,141.6075,145.958,144.8575,142.73,143.15,142.58,138.598
2014-03-01,137.8975,137.8975,141.6075,145.958,144.8575,142.73,143.15,142.58,138.598,136.0725
2014-04-01,141.6075,141.6075,145.958,144.8575,142.73,143.15,142.58,138.598,136.0725,134.05
2014-05-01,145.958,145.958,144.8575,142.73,143.15,142.58,138.598,136.0725,134.05,137.235
2014-06-01,144.8575,144.8575,142.73,143.15,142.58,138.598,136.0725,134.05,137.235,135.172
2014-07-01,142.73,142.73,143.15,142.58,138.598,136.0725,134.05,137.235,135.172,131.765
2014-08-01,143.15,143.15,142.58,138.598,136.0725,134.05,137.235,135.172,131.765,130.38
2014-09-01,142.58,142.58,138.598,136.0725,134.05,137.235,135.172,131.765,130.38,127.756
2014-10-01,138.598,138.598,136.0725,134.05,137.235,135.172,131.765,130.38,127.756,119.175
2014-11-01,136.0725,136.0725,134.05,137.235,135.172,131.765,130.38,127.756,119.175,119.62
2014-12-01,134.05,134.05,137.235,135.172,131.765,130.38,127.756,119.175,119.62,120.8825
2015-01-01,137.235,137.235,135.172,131.765,130.38,127.756,119.175,119.62,120.8825,115.805
2015-02-01,135.172,135.172,131.765,130.38,127.756,119.175,119.62,120.8825,115.805,108.808
2015-03-01,131.765,131.765,130.38,127.756,119.175,119.62,120.8825,115.805,108.808,102.345
2015-04-01,130.38,130.38,127.756,119.175,119.62,120.8825,115.805,108.808,102.345,102.6
2015-05-01,127.756,127.756,119.175,119.62,120.8825,115.805,108.808,102.345,102.6,102.4175
2015-06-01,119.175,119.175,119.62,120.8825,115.805,108.808,102.345,102.6,102.4175,99.319
2015-07-01,119.62,119.62,120.8825,115.805,108.808,102.345,102.6,102.4175,99.319,93.905
2015-08-01,120.8825,120.8825,115.805,108.808,102.345,102.6,102.4175,99.319,93.905,88.696
2015-09-01,115.805,115.805,108.808,102.345,102.6,102.4175,99.319,93.905,88.696,95.76
2015-10-01,108.808,108.808,102.345,102.6,102.4175,99.319,93.905,88.696,95.76,90.815
2015-11-01,102.345,102.345,102.6,102.4175,99.319,93.905,88.696,95.76,90.815,88.192
2015-12-01,102.6,102.6,102.4175,99.319,93.905,88.696,95.76,90.815,88.192,84.8225
2016-01-01,102.4175,102.4175,99.319,93.905,88.696,95.76,90.815,88.192,84.8225,80.105
2016-02-01,99.319,99.319,93.905,88.696,95.76,90.815,88.192,84.8225,80.105,82.415
2016-03-01,93.905,93.905,88.696,95.76,90.815,88.192,84.8225,80.105,82.415,83.2775
2016-04-01,88.696,88.696,95.76,90.815,88.192,84.8225,80.105,82.415,83.2775,95.745
2016-05-01,95.76,95.76,90.815,88.192,84.8225,80.105,82.415,83.2775,95.745,114.24
2016-06-01,90.815,90.815,88.192,84.8225,80.105,82.415,83.2775,95.745,114.24,105.91
2016-07-01,88.192,88.192,84.8225,80.105,82.415,83.2775,95.745,114.24,105.91,95.715
2016-08-01,84.8225,84.8225,80.105,82.415,83.2775,95.745,114.24,105.91,95.715,101.826
2016-09-01,80.105,80.105,82.415,83.2775,95.745,114.24,105.91,95.715,101.826,106.015
2016-10-01,82.415,82.415,83.2775,95.745,114.24,105.91,95.715,101.826,106.015,105.316
2016-11-01,83.2775,83.2775,95.745,114.24,105.91,95.715,101.826,106.015,105.316,109.5625
2016-12-01,95.745,95.745,114.24,105.91,95.715,101.826,106.015,105.316,109.5625,124.9325
2017-01-01,114.24,114.24,105.91,95.715,101.826,106.015,105.316,109.5625,124.9325,139.466
2017-02-01,105.91,105.91,95.715,101.826,106.015,105.316,109.5625,124.9325,139.466,138.58
2017-03-01,95.715,95.715,101.826,106.015,105.316,109.5625,124.9325,139.466,138.58,146.4625
2017-04-01,101.826,101.826,106.015,105.316,109.5625,124.9325,139.466,138.58,146.4625,157.718
2017-05-01,106.015,106.015,105.316,109.5625,124.9325,139.466,138.58,146.4625,157.718,144.915
2017-06-01,105.316,105.316,109.5625,124.9325,139.466,138.58,146.4625,157.718,144.915,150.035
2017-07-01,109.5625,109.5625,124.9325,139.466,138.58,146.4625,157.718,144.915,150.035,150.61
2017-08-01,124.9325,124.9325,139.466,138.58,146.4625,157.718,144.915,150.035,150.61,156.93
2017-09-01,139.466,139.466,138.58,146.4625,157.718,144.915,150.035,150.61,156.93,171.6725
2017-10-01,138.58,138.58,146.4625,157.718,144.915,150.035,150.61,156.93,171.6725,176.346
2017-11-01,146.4625,146.4625,157.718,144.915,150.035,150.61,156.93,171.6725,176.346,173.48
2017-12-01,157.718,157.718,144.915,150.035,150.61,156.93,171.6725,176.346,173.48,176.635
2018-01-01,144.915,144.915,150.035,150.61,156.93,171.6725,176.346,173.48,176.635,193.006
2018-02-01,150.035,150.035,150.61,156.93,171.6725,176.346,173.48,176.635,193.006,169.5175
2018-03-01,150.61,150.61,156.93,171.6725,176.346,173.48,176.635,193.006,169.5175,168.595
2018-04-01,156.93,156.93,171.6725,176.346,173.48,176.635,193.006,169.5175,168.595,165.104
2018-05-01,171.6725,171.6725,176.346,173.48,176.635,193.006,169.5175,168.595,165.104,163.1625
2018-06-01,176.346,176.346,173.48,176.635,193.006,169.5175,168.595,165.104,163.1625,171.155
2018-07-01,173.48,173.48,176.635,193.006,169.5175,168.595,165.104,163.1625,171.155,173.848
2018-08-01,176.635,176.635,193.006,169.5175,168.595,165.104,163.1625,171.155,173.848,175.3775
2018-09-01,193.006,193.006,169.5175,168.595,165.104,163.1625,171.155,173.848,175.3775,186.456
2018-10-01,169.5175,169.5175,168.595,165.104,163.1625,171.155,173.848,175.3775,186.456,190.6125
2018-11-01,168.595,168.595,165.104,163.1625,171.155,173.848,175.3775,186.456,190.6125,192.2625
2018-12-01,165.104,165.104,163.1625,171.155,173.848,175.3775,186.456,190.6125,192.2625,182.88
2019-01-01,163.1625,163.1625,171.155,173.848,175.3775,186.456,190.6125,192.2625,182.88,166.265
2019-02-01,171.155,171.155,173.848,175.3775,186.456,190.6125,192.2625,182.88,166.265,161.7875
2019-03-01,173.848,173.848,175.3775,186.456,190.6125,192.2625,182.88,166.265,161.7875,163.22
2019-04-01,175.3775,175.3775,186.456,190.6125,192.2625,182.88,166.265,161.7875,163.22,166.86
2019-05-01,186.456,186.456,190.6125,192.2625,182.88,166.265,161.7875,163.22,166.86,172.4825
2019-06-01,190.6125,190.6125,192.2625,182.88,166.265,161.7875,163.22,166.86,172.4825,174.085
2019-07-01,192.2625,192.2625,182.88,166.265,161.7875,163.22,166.86,172.4825,174.085,171.19
2019-08-01,182.88,182.88,166.265,161.7875,163.22,166.86,172.4825,174.085,171.19,173.265
2019-09-01,166.265,166.265,161.7875,163.22,166.86,172.4825,174.085,171.19,173.265,165.522
2019-10-01,161.7875,161.7875,163.22,166.86,172.4825,174.085,171.19,173.265,165.522,164.99
2019-11-01,163.22,163.22,166.86,172.4825,174.085,171.19,173.265,165.522,164.99,164.3175
2019-12-01,166.86,166.86,172.4825,174.085,171.19,173.265,165.522,164.99,164.3175,167.514
2020-01-01,172.4825,172.4825,174.085,171.19,173.265,165.522,164.99,164.3175,167.514,163.2275
2020-02-01,174.085,174.085,171.19,173.265,165.522,164.99,164.3175,167.514,163.2275,158.926
2020-03-01,171.19,171.19,173.265,165.522,164.99,164.3175,167.514,163.2275,158.926,154.105
