,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2,spi-2
2000-10-01,88,88,88,89.2,108.5,110.25,103.4,100.25,100,99.8
2000-11-01,88,88,89.2,108.5,110.25,103.4,100.25,100,99.8,98.5
2000-12-01,89.2,89.2,108.5,110.25,103.4,100.25,100,99.8,98.5,96.75
2001-01-01,108.5,108.5,110.25,103.4,100.25,100,99.8,98.5,96.75,94.4
2001-02-01,110.25,110.25,103.4,100.25,100,99.8,98.5,96.75,94.4,92.75
2001-03-01,103.4,103.4,100.25,100,99.8,98.5,96.75,94.4,92.75,95
2001-04-01,100.25,100.25,100,99.8,98.5,96.75,94.4,92.75,95,98.6
2001-05-01,100,100,99.8,98.5,96.75,94.4,92.75,95,98.6,99
2001-06-01,99.8,99.8,98.5,96.75,94.4,92.75,95,98.6,99,98.25
2001-07-01,98.5,98.5,96.75,94.4,92.75,95,98.6,99,98.25,95.2
2001-08-01,96.75,96.75,94.4,92.75,95,98.6,99,98.25,95.2,93.25
2001-09-01,94.4,94.4,92.75,95,98.6,99,98.25,95.2,93.25,91.8
2001-10-01,92.75,92.75,95,98.6,99,98.25,95.2,93.25,91.8,90
2001-11-01,95,95,98.6,99,98.25,95.2,93.25,91.8,90,88
2001-12-01,98.6,98.6,99,98.25,95.2,93.25,91.8,90,88,86.4
2002-01-01,99,99,98.25,95.2,93.25,91.8,90,88,86.4,85.5
2002-02-01,98.25,98.25,95.2,93.25,91.8,90,88,86.4,85.5,86.75
2002-03-01,95.2,95.2,93.25,91.8,90,88,86.4,85.5,86.75,88.5
2002-04-01,93.25,93.25,91.8,90,88,86.4,85.5,86.75,88.5,91
2002-05-01,91.8,91.8,90,88,86.4,85.5,86.75,88.5,91,90
2002-06-01,90,90,88,86.4,85.5,86.75,88.5,91,90,92
2002-07-01,88,88,86.4,85.5,86.75,88.5,91,90,92,93.75
2002-08-01,86.4,86.4,85.5,86.75,88.5,91,90,92,93.75,92.25
2002-09-01,85.5,85.5,86.75,88.5,91,90,92,93.75,92.25,92
2002-10-01,86.75,86.75,88.5,91,90,92,93.75,92.25,92,92.25
2002-11-01,88.5,88.5,91,90,92,93.75,92.25,92,92.25,93.5
2002-12-01,91,91,90,92,93.75,92.25,92,92.25,93.5,97.8
2003-01-01,90,90,92,93.75,92.25,92,92.25,93.5,97.8,102.75
