,epu,spi,spi,spi,spi,spi,spi,spi,spi,spi
2006-04-01,55.1,134.25,127.6,117,113.25,110.2,109.25,112,121.4,126
2006-05-01,59.4,127.6,117,113.25,110.2,109.25,112,121.4,126,130
2006-06-01,37.9,117,113.25,110.2,109.25,112,121.4,126,130,140.2
2006-07-01,47.0,113.25,110.2,109.25,112,121.4,126,130,140.2,125.5
2006-08-01,55.9,110.2,109.25,112,121.4,126,130,140.2,125.5,123.5
2006-09-01,59.3,109.25,112,121.4,126,130,140.2,125.5,123.5,125.8
2006-10-01,24.9,112,121.4,126,130,140.2,125.5,123.5,125.8,125.25
2006-11-01,70.8,121.4,126,130,140.2,125.5,123.5,125.8,125.25,123.75
2006-12-01,59.0,126,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4
2007-01-01,64.1,130,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5
2007-02-01,29.0,140.2,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75
2007-03-01,39.8,125.5,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66
2007-04-01,60.2,123.5,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425
2007-05-01,41.1,125.8,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55
2007-06-01,37.0,125.25,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84
2007-07-01,44.4,123.75,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25
2007-08-01,58.8,124.4,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86
2007-09-01,50.1,129.5,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075
2007-10-01,59.0,132.75,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025
2007-11-01,55.1,133.66,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38
2007-12-01,46.7,135.425,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075
2008-01-01,84.1,142.55,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225
2008-02-01,82.0,137.84,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58
2008-03-01,54.4,138.25,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275
2008-04-01,135.9,145.86,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05
2008-05-01,91.6,153.075,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22
2008-06-01,67.6,153.025,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55
2008-07-01,62.9,159.38,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25
2008-08-01,126.0,171.075,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96
2008-09-01,128.4,170.225,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85
2008-10-01,103.9,177.58,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22
2008-11-01,150.5,193.275,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975
2008-12-01,126.1,199.05,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95
2009-01-01,125.1,214.22,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64
2009-02-01,133.9,217.55,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175
2009-03-01,102.9,215.25,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3
2009-04-01,116.1,202.96,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325
2009-05-01,81.1,186.85,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58
2009-06-01,57.3,146.22,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45
2009-07-01,179.8,129.975,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3
2009-08-01,134.8,133.95,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175
2009-09-01,121.9,139.64,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825
2009-10-01,190.3,137.175,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94
2009-11-01,121.3,124.3,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575
2009-12-01,123.1,122.325,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725
2010-01-01,103.6,127.58,134.45,145.3,150.175,133.825,130.94,135.575,138.725,145.22
2010-02-01,119.2,134.45,145.3,150.175,133.825,130.94,135.575,138.725,145.22,144
2010-03-01,106.0,145.3,150.175,133.825,130.94,135.575,138.725,145.22,144,153.375
2010-04-01,143.9,150.175,133.825,130.94,135.575,138.725,145.22,144,153.375,167.1
2010-05-01,95.0,133.825,130.94,135.575,138.725,145.22,144,153.375,167.1,160.4
2010-06-01,106.9,130.94,135.575,138.725,145.22,144,153.375,167.1,160.4,152.525
2010-07-01,138.5,135.575,138.725,145.22,144,153.375,167.1,160.4,152.525,146.76
2010-08-01,127.5,138.725,145.22,144,153.375,167.1,160.4,152.525,146.76,153.775
2010-09-01,95.2,145.22,144,153.375,167.1,160.4,152.525,146.76,153.775,158.375
2010-10-01,82.1,144,153.375,167.1,160.4,152.525,146.76,153.775,158.375,157.26
2010-11-01,97.9,153.375,167.1,160.4,152.525,146.76,153.775,158.375,157.26,162.525
2010-12-01,93.3,167.1,160.4,152.525,146.76,153.775,158.375,157.26,162.525,166.9
2011-01-01,125.8,160.4,152.525,146.76,153.775,158.375,157.26,162.525,166.9,171.8
2011-02-01,155.0,152.525,146.76,153.775,158.375,157.26,162.525,166.9,171.8,175.975
2011-03-01,59.0,146.76,153.775,158.375,157.26,162.525,166.9,171.8,175.975,171.05
2011-04-01,120.8,153.775,158.375,157.26,162.525,166.9,171.8,175.975,171.05,174.56
2011-05-01,135.2,158.375,157.26,162.525,166.9,171.8,175.975,171.05,174.56,177.5
